epoch	loss	loss_cls	loss_box	OBOA	MAE	MAEP	MAEN	lr
1	4.4280754172243375	1.4182848292688293	3.0097905778956964	0.46270783847980995	0.7291692457927769	1.1960858569112085	0.30902857676292506	5e-05
2	4.353958737075367	1.3990077049524732	2.954951027479112	0.4629453681710214	0.7228812690431488	1.1254358728979337	0.30750397993044154	5e-05
3	4.328917058367267	1.3883696172387212	2.9405474458598495	0.4890736342042755	0.7477503177033318	1.1816326563041504	0.2901516189642609	5e-05
4	4.323078652937709	1.3822917249593485	2.940786928925651	0.4850356294536817	0.7620477168776	1.203906390017046	0.286635673095413	5e-05
5	4.302630477527181	1.3772769228425146	2.9253535566204336	0.47624703087885983	0.7404013909068405	1.1570683937213595	0.29038455881566666	5e-05
6	4.348238872745541	1.3877662273339848	2.9604726504414622	0.4866983372921615	0.7247141827359611	1.145191276763823	0.2945384339683835	5e-05
7	4.309797376444468	1.3816896632793165	2.9281077213921627	0.4864608076009501	0.698591936561869	1.0677238090213155	0.2816615009513766	5e-05
8	4.3110538245843415	1.3765478798854534	2.934505941923945	0.5019002375296913	0.6980487703915484	1.0711798057428705	0.2749904196156233	5e-05
9	4.304794722039971	1.3791205019344395	2.925674220651253	0.5002375296912114	0.7090876775602452	1.1129036775718268	0.2831987678359795	5e-05
10	4.335143557863394	1.376996566888401	2.9581469883236093	0.4969121140142518	0.6735755275874752	1.0473046250065836	0.278667839401089	5e-05
11	4.301580873140118	1.3698645847555733	2.931716294258775	0.49049881235154397	0.6602445748091983	0.9953386666316139	0.27593727623264974	5e-05
12	4.256947277421649	1.3694496369058127	2.8874976353263317	0.5085510688836105	0.6949535701516103	1.067829753248487	0.2689449029493242	5e-05
13	4.245303409245277	1.3604125355572454	2.8848908768593944	0.5019002375296913	0.7054612569040724	1.0688953066268103	0.2744730068694214	5e-05
14	4.263401183204758	1.3577848008270528	2.9056163785164673	0.5045130641330167	0.6721116706079009	1.0051000857523142	0.2779832663757731	5e-05
15	4.200671352554516	1.356882667510614	2.843788691345442	0.49596199524940615	0.6969001801516533	1.0725538429850483	0.2790255336380362	5e-05
16	4.241368471502717	1.362051370946513	2.879317101297562	0.49572446555819477	0.7009361535465114	1.0733623172365967	0.27544163065376487	5e-05
17	4.2677273622112075	1.3672302160837613	2.900497152161274	0.5161520190023753	0.6679692859916073	0.9888709472702301	0.278568111317018	5e-05
18	4.266749434109719	1.3584892584525388	2.9082601754100605	0.5171021377672209	0.6639421481736639	1.0338745037084331	0.26440058236387454	5e-05
19	4.14702529318259	1.348018172950267	2.7990071203919213	0.5194774346793349	0.6548054027516936	0.9929618690974417	0.27648541045848773	5e-05
